sigma,m_sigma,m_chi_p,m_chi,s_p,s,O,fact,mat,m_chi_x2,m_chi_p_x2
1,-1,-1/2,-1/2,0,1,-pi*a*b_1*Sqrt(3/2),-pi*Sqrt(3/2),a*b_1,-1,-1
1,-1,-1/2,-1/2,1,0,pi*a*b_1/Sqrt(2),pi/Sqrt(2),a*b_1,-1,-1
1,-1,-1/2,-1/2,1,1,-pi*a*b_1,-pi,a*b_1,-1,-1
1,-1,-1/2,1/2,0,1,pi*b_1**2*Sqrt(6),pi*Sqrt(6),b_1**2,1,-1
1,-1,-1/2,1/2,1,0,-pi*b_1**2*Sqrt(2),-pi*Sqrt(2),b_1**2,1,-1
1,-1,-1/2,1/2,1,1,2*pi*b_1**2,2*pi,b_1**2,1,-1
1,-1,1/2,-1/2,0,1,pi*e*Sqrt(3/2)/2,pi*Sqrt(3/2)/2,e,-1,1
1,-1,1/2,-1/2,1,0,-pi*e/(2*Sqrt(2)),-pi/(2*Sqrt(2)),e,-1,1
1,-1,1/2,-1/2,1,1,pi*e/2,pi/2,e,-1,1
1,-1,1/2,1/2,0,1,pi*a*b_1*Sqrt(3/2),pi*Sqrt(3/2),a*b_1,1,1
1,-1,1/2,1/2,1,0,-pi*a*b_1/Sqrt(2),-pi/Sqrt(2),a*b_1,1,1
1,-1,1/2,1/2,1,1,pi*a*b_1,pi,a*b_1,1,1
1,0,-1/2,-1/2,0,1,-pi*a**2*Sqrt(3)/2,-pi*Sqrt(3)/2,a**2,-1,-1
1,0,-1/2,-1/2,1,0,pi*a**2/2,pi/2,a**2,-1,-1
1,0,-1/2,-1/2,1,1,-pi*a**2/Sqrt(2),-pi/Sqrt(2),a**2,-1,-1
1,0,-1/2,1/2,0,1,pi*a*b_1*Sqrt(3),pi*Sqrt(3),a*b_1,1,-1
1,0,-1/2,1/2,1,0,-pi*a*b_1,-pi,a*b_1,1,-1
1,0,-1/2,1/2,1,1,pi*a*b_1*Sqrt(2),pi*Sqrt(2),a*b_1,1,-1
1,0,1/2,-1/2,0,1,pi*a*b_2*Sqrt(3),pi*Sqrt(3),a*b_2,-1,1
1,0,1/2,-1/2,1,0,-pi*a*b_2,-pi,a*b_2,-1,1
1,0,1/2,-1/2,1,1,pi*a*b_2*Sqrt(2),pi*Sqrt(2),a*b_2,-1,1
1,0,1/2,1/2,0,1,pi*a**2*Sqrt(3)/2,pi*Sqrt(3)/2,a**2,1,1
1,0,1/2,1/2,1,0,-pi*a**2/2,-pi/2,a**2,1,1
1,0,1/2,1/2,1,1,pi*a**2/Sqrt(2),pi/Sqrt(2),a**2,1,1
1,1,-1/2,-1/2,0,1,pi*a*b_2*Sqrt(3/2),pi*Sqrt(3/2),a*b_2,-1,-1
1,1,-1/2,-1/2,1,0,-pi*a*b_2/Sqrt(2),-pi/Sqrt(2),a*b_2,-1,-1
1,1,-1/2,-1/2,1,1,pi*a*b_2,pi,a*b_2,-1,-1
1,1,-1/2,1/2,0,1,-pi*e*Sqrt(3/2)/2,-pi*Sqrt(3/2)/2,e,1,-1
1,1,-1/2,1/2,1,0,pi*e/(2*Sqrt(2)),pi/(2*Sqrt(2)),e,1,-1
1,1,-1/2,1/2,1,1,-pi*e/2,-pi/2,e,1,-1
1,1,1/2,-1/2,0,1,-pi*b_2**2*Sqrt(6),-pi*Sqrt(6),b_2**2,-1,1
1,1,1/2,-1/2,1,0,pi*b_2**2*Sqrt(2),pi*Sqrt(2),b_2**2,-1,1
1,1,1/2,-1/2,1,1,-2*pi*b_2**2,-2*pi,b_2**2,-1,1
1,1,1/2,1/2,0,1,-pi*a*b_2*Sqrt(3/2),-pi*Sqrt(3/2),a*b_2,1,1
1,1,1/2,1/2,1,0,pi*a*b_2/Sqrt(2),pi/Sqrt(2),a*b_2,1,1
1,1,1/2,1/2,1,1,-pi*a*b_2,-pi,a*b_2,1,1
