ms_o_dm,ms_i_dm,s_o,s_i,l_o,l_i,j_o,j_i,mj_o,mj_i,val
-1/2,-1/2,0,1,0,0,0,1,0,0,492182.849062401
-1/2,-1/2,0,1,0,1,0,0,0,0,-251327.412287183
-1/2,-1/2,0,1,0,1,0,2,0,0,88857.6587631673
-1/2,-1/2,0,1,0,2,0,1,0,0,-59238.4391754451
-1/2,-1/2,0,1,1,0,1,1,-1,-1,-217655.923708106
-1/2,-1/2,0,1,1,0,1,1,0,0,-435311.847416212
-1/2,-1/2,0,1,1,0,1,1,1,1,-217655.923708106
-1/2,-1/2,0,1,1,1,1,0,0,0,193471.932184983
-1/2,-1/2,0,1,1,1,1,1,-1,-1,-59238.4391754449
-1/2,-1/2,0,1,1,1,1,2,-1,-1,-59238.4391754449
-1/2,-1/2,0,1,1,1,1,2,0,0,-68402.6576086328
-1/2,-1/2,0,1,1,1,1,1,1,1,59238.4391754449
-1/2,-1/2,0,1,1,1,1,2,1,1,-59238.4391754449
-1/2,-1/2,0,1,2,0,2,1,-1,-1,129784.917631156
-1/2,-1/2,0,1,2,0,2,1,0,0,149862.714262202
-1/2,-1/2,0,1,2,0,2,1,1,1,129784.917631156
-1/2,-1/2,1,0,0,0,1,0,0,0,492182.849062401
-1/2,-1/2,1,0,0,1,1,1,-1,-1,108827.961854053
-1/2,-1/2,1,0,0,1,1,1,0,0,217655.923708106
-1/2,-1/2,1,0,0,1,1,1,1,1,108827.961854053
-1/2,-1/2,1,0,0,2,1,2,-1,-1,32446.2294077889
-1/2,-1/2,1,0,0,2,1,2,0,0,37465.6785655508
-1/2,-1/2,1,0,0,2,1,2,1,1,32446.2294077889
-1/2,-1/2,1,0,1,0,0,0,0,0,502654.824574367
-1/2,-1/2,1,0,1,0,2,0,0,0,-177715.317526335
-1/2,-1/2,1,0,1,1,0,1,0,0,193471.932184983
-1/2,-1/2,1,0,1,1,1,1,-1,-1,-59238.4391754449
-1/2,-1/2,1,0,1,1,2,1,-1,-1,-59238.4391754449
-1/2,-1/2,1,0,1,1,2,1,0,0,-68402.6576086328
-1/2,-1/2,1,0,1,1,1,1,1,1,59238.4391754449
-1/2,-1/2,1,0,1,1,2,1,1,1,-59238.4391754449
-1/2,-1/2,1,0,2,0,1,0,0,0,-236953.756701780
-1/2,-1/2,1,1,0,0,1,1,-1,-1,492182.849062401
-1/2,-1/2,1,1,0,0,1,1,1,1,-492182.849062401
-1/2,-1/2,1,1,0,1,1,1,-1,-1,230858.969429136
-1/2,-1/2,1,1,0,1,1,2,-1,-1,76952.9898097119
-1/2,-1/2,1,1,0,1,1,1,0,0,153905.979619424
-1/2,-1/2,1,1,0,1,1,1,1,1,230858.969429136
-1/2,-1/2,1,1,0,1,1,2,1,1,-76952.9898097119
-1/2,-1/2,1,1,0,2,1,1,-1,-1,29619.2195877225
-1/2,-1/2,1,1,0,2,1,2,-1,-1,39738.3530631846
-1/2,-1/2,1,1,0,2,1,2,0,0,45885.8976763638
-1/2,-1/2,1,1,0,2,1,1,1,1,-29619.2195877226
-1/2,-1/2,1,1,0,2,1,2,1,1,39738.3530631846
-1/2,-1/2,1,1,1,0,1,1,-1,-1,-461717.938858271
-1/2,-1/2,1,1,1,0,2,1,-1,-1,-153905.979619424
-1/2,-1/2,1,1,1,0,1,1,0,0,-307811.959238847
-1/2,-1/2,1,1,1,0,1,1,1,1,-461717.938858271
-1/2,-1/2,1,1,1,0,2,1,1,1,153905.979619424
-1/2,-1/2,1,1,1,1,0,1,0,0,68402.6576086328
-1/2,-1/2,1,1,1,1,1,0,0,0,68402.6576086328
-1/2,-1/2,1,1,1,1,1,1,-1,-1,-167551.608191456
-1/2,-1/2,1,1,1,1,1,2,-1,-1,-83775.8040957279
-1/2,-1/2,1,1,1,1,1,2,0,0,-96735.9660924917
-1/2,-1/2,1,1,1,1,2,1,-1,-1,-83775.8040957279
-1/2,-1/2,1,1,1,1,2,1,0,0,-96735.9660924917
-1/2,-1/2,1,1,1,1,1,1,1,1,167551.608191456
-1/2,-1/2,1,1,1,1,1,2,1,1,-83775.8040957279
-1/2,-1/2,1,1,1,1,2,1,1,1,-83775.8040957279
-1/2,-1/2,1,1,2,0,1,1,-1,-1,118476.878350890
-1/2,-1/2,1,1,2,0,2,1,-1,-1,158953.412252738
-1/2,-1/2,1,1,2,0,2,1,0,0,183543.590705455
-1/2,-1/2,1,1,2,0,1,1,1,1,-118476.878350890
-1/2,-1/2,1,1,2,0,2,1,1,1,158953.412252738
-1/2,1/2,0,1,0,0,0,1,0,-1,-296192.195877224
-1/2,1/2,0,1,0,1,0,1,0,-1,108827.961854053
-1/2,1/2,0,1,0,1,0,2,0,-1,-108827.961854053
-1/2,1/2,0,1,0,2,0,1,0,-1,83775.8040957278
-1/2,1/2,0,1,1,0,1,1,1,0,-307811.959238847
-1/2,1/2,0,1,1,1,1,0,1,0,273610.630434531
-1/2,1/2,0,1,1,1,1,1,0,-1,-83775.8040957278
-1/2,1/2,0,1,1,1,1,1,1,0,-83775.8040957278
-1/2,1/2,0,1,1,1,1,2,-1,-2,118476.878350890
-1/2,1/2,0,1,1,1,1,2,0,-1,83775.8040957279
-1/2,1/2,0,1,1,1,1,2,1,0,48367.9830462458
-1/2,1/2,0,1,2,0,2,1,0,-1,105968.941501825
-1/2,1/2,0,1,2,0,2,1,1,0,183543.590705455
-1/2,1/2,0,1,2,0,2,1,2,1,259569.835262311
-1/2,1/2,1,0,0,0,1,0,1,0,296192.195877224
-1/2,1/2,1,0,0,1,1,1,0,-1,-153905.979619424
-1/2,1/2,1,0,0,2,1,2,-1,-2,-64892.4588155778
-1/2,1/2,1,0,0,2,1,2,0,-1,-45885.8976763638
-1/2,1/2,1,0,0,2,1,2,1,0,-26492.2353754562
